epsilon,J,primal
0,2.3456,2.3456
0.0025,2.3577,2.5333
0.005,2.3664,2.6175
0.0075,2.3753,2.6856
0.01,2.3844,2.7457
0.0125,2.3941,2.8011
0.015,2.4044,2.8536
0.0175,2.4154,2.904
0.02,2.427,2.9531
0.0225,2.4393,3.0012
0.025,2.4523,3.0487
0.0275,2.466,3.0959
0.03,2.4804,3.1429
0.0325,2.4954,3.1897
0.035,2.511,3.2365
0.0375,2.5271,3.2832
0.04,2.5436,3.3298
0.0425,2.5605,3.3762
0.045,2.5776,3.4225
0.0475,2.5948,3.4684
0.05,2.6121,3.5139
0.0525,2.6292,3.5588
0.055,2.6462,3.6031
0.0575,2.6628,3.6466
0.06,2.6789,3.6891
0.0625,2.6946,3.7307
0.065,2.7096,3.7713
0.0675,2.7241,3.8107
0.07,2.7378,3.849
0.0725,2.7508,3.8861
0.075,2.7632,3.922
0.0775,2.7748,3.9568
0.08,2.7857,3.9904
0.0825,2.796,4.023
0.085,2.8056,4.0545
0.0875,2.8147,4.085
0.09,2.8231,4.1146
0.0925,2.831,4.1433
0.095,2.8385,4.1711
0.0975,2.8454,4.1982
0.1,2.8519,4.2245
0.1025,2.858,4.2501
0.105,2.8638,4.275
0.1075,2.8691,4.2993
0.11,2.8742,4.323
0.1125,2.879,4.3462
0.115,2.8834,4.3688
0.1175,2.8877,4.3909
0.12,2.8916,4.4126
0.1225,2.8954,4.4338
0.125,2.8989,4.4546
0.1275,2.9022,4.475
0.13,2.9054,4.495
0.1325,2.9084,4.5147
0.135,2.9112,4.534
0.1375,2.9138,4.553
0.14,2.9163,4.5716
0.1425,2.9186,4.5899
0.145,2.9208,4.6079
0.1475,2.9229,4.6257
0.15,2.9248,4.6431
0.1525,2.9267,4.6603
0.155,2.9284,4.6772
0.1575,2.93,4.6939
0.16,2.9315,4.7103
0.1625,2.9328,4.7264
0.165,2.9341,4.7423
0.1675,2.9353,4.758
0.17,2.9363,4.7735
0.1725,2.9373,4.7887
0.175,2.9382,4.8037
0.1775,2.9389,4.8184
0.18,2.9396,4.833
0.1825,2.9401,4.8473
0.185,2.9405,4.8613
0.1875,2.9409,4.8752
0.19,2.9411,4.8888
0.1925,2.9412,4.9021
0.195,2.9411,4.9152
0.1975,2.9409,4.928
0.2,2.9405,4.9405
0.2025,2.94,4.9528
0.205,2.9393,4.9646
0.2075,2.9383,4.9761
0.21,2.9372,4.9873
0.2125,2.9357,4.9979
0.215,2.9339,5.008
0.2175,2.9316,5.0176
0.22,2.9289,5.0264
0.2225,2.9256,5.0343
0.225,2.9216,5.0412
0.2275,2.9166,5.0467
0.23,2.9104,5.0505
0.2325,2.9025,5.0521
0.235,2.8924,5.0504
0.2375,2.8791,5.0445
0.24,2.8613,5.0323
0.2425,2.837,5.011
0.245,2.8033,4.9765
0.2475,2.7563,4.9229
0.25,2.6915,4.8432
0.2525,2.6066,4.7325
0.255,2.5057,4.5955
0.2575,2.4035,4.455
0.26,2.3232,4.3544
0.2625,2.2871,4.3428
0.265,2.3102,4.4531
0.2675,2.4025,4.6957
0.27,2.5756,5.0663
0.2725,2.8438,5.5551
